Shop-ID;Brand;Country;Postcode;City;Street and Housenumber;Complete adress;With brand
5976114;Subway;DE;10178;Berlin;Spandauer Str. 3;Spandauer Str. 3 10178 Berlin;Subway Spandauer Str. 3 10178 Berlin
5976391;Subway;DE;10179;Berlin;Grunerstr. 20;Grunerstr. 20 10179 Berlin;Subway Grunerstr. 20 10179 Berlin
5976058;Subway;DE;10243;Berlin;Ostbahnhof 5-7;Ostbahnhof 5-7 10243 Berlin;Subway Ostbahnhof 5-7 10243 Berlin
5976640;Subway;DE;10247;Berlin;August Lindemann Straße 9;August Lindemann Straße 9 10247 Berlin;Subway August Lindemann Straße 9 10247 Berlin
5976255;Subway;DE;10247;Berlin;Frankfurter Allee 41;Frankfurter Allee 41 10247 Berlin;Subway Frankfurter Allee 41 10247 Berlin
5976387;Subway;DE;10365;Berlin;Frankfurter Allee 113;Frankfurter Allee 113 10365 Berlin;Subway Frankfurter Allee 113 10365 Berlin
5976572;Subway;DE;10439;Berlin;Schönhauser Allee 78;Schönhauser Allee 78 10439 Berlin;Subway Schönhauser Allee 78 10439 Berlin
5976138;Subway;DE;10439;Berlin;Schönhauser Allee 86;Schönhauser Allee 86 10439 Berlin;Subway Schönhauser Allee 86 10439 Berlin
5976393;Subway;DE;10627;Berlin;Wilmersdorfer Str. 46-54;Wilmersdorfer Str. 46-54 10627 Berlin;Subway Wilmersdorfer Str. 46-54 10627 Berlin
5976056;Subway;DE;10707;Berlin;Kurfürstendamm 180;Kurfürstendamm 180 10707 Berlin;Subway Kurfürstendamm 180 10707 Berlin
5976073;Subway;DE;10719;Berlin;Joachimstaler Str. 10-12;Joachimstaler Str. 10-12 10719 Berlin;Subway Joachimstaler Str. 10-12 10719 Berlin
5976619;Subway;DE;10785;Berlin;Alte Potsdamer Strasse 7;Alte Potsdamer Strasse 7 10785 Berlin;Subway Alte Potsdamer Strasse 7 10785 Berlin
5976269;Subway;DE;10785;Berlin;Potsdamer Platz;Potsdamer Platz 10785 Berlin;Subway Potsdamer Platz 10785 Berlin
5976128;Subway;DE;10967;Berlin;Hasenheide 1-4;Hasenheide 1-4 10967 Berlin;Subway Hasenheide 1-4 10967 Berlin
5976560;Subway;DE;12099;Berlin;Tempelhofer Damm 227;Tempelhofer Damm 227 12099 Berlin;Subway Tempelhofer Damm 227 12099 Berlin
5976451;Subway;DE;12159;Berlin;Rheinstr. 66;Rheinstr. 66 12159 Berlin;Subway Rheinstr. 66 12159 Berlin
5976477;Subway;DE;12163;Berlin;Hubertusstraße 14;Hubertusstraße 14 12163 Berlin;Subway Hubertusstraße 14 12163 Berlin
5976350;Subway;DE;12163;Berlin;Walther-Schreiber-Platz 1;Walther-Schreiber-Platz 1 12163 Berlin;Subway Walther-Schreiber-Platz 1 12163 Berlin
5976096;Subway;DE;12489;Berlin;Rudower Chaussee 12;Rudower Chaussee 12 12489 Berlin;Subway Rudower Chaussee 12 12489 Berlin
5976381;Subway;DE;12627;Berlin;Stendaler Straße 21;Stendaler Straße 21 12627 Berlin;Subway Stendaler Straße 21 12627 Berlin
5976214;Subway;DE;12679;Berlin;Marzahner Promenade 1a;Marzahner Promenade 1a 12679 Berlin;Subway Marzahner Promenade 1a 12679 Berlin
5976298;Subway;DE;13051;Berlin;Prerower Platz 1;Prerower Platz 1 13051 Berlin;Subway Prerower Platz 1 13051 Berlin
5976078;Subway;DE;13357;Berlin;Badstr. 4;Badstr. 4 13357 Berlin;Subway Badstr. 4 13357 Berlin
5976079;Subway;DE;13507;Berlin;Am Borsigturm 2;Am Borsigturm 2 13507 Berlin;Subway Am Borsigturm 2 13507 Berlin
5976585;Subway;DE;13507;Berlin;Gorkistraße 11-22;Gorkistraße 11-22 13507 Berlin;Subway Gorkistraße 11-22 13507 Berlin
5976280;Subway;DE;13597;Berlin;Seegefelder Str. 1;Seegefelder Str. 1 13597 Berlin;Subway Seegefelder Str. 1 13597 Berlin
5976624;Subway;DE;13629;Berlin;Nonnendammallee 119-123;Nonnendammallee 119-123 13629 Berlin;Subway Nonnendammallee 119-123 13629 Berlin
5976129;Subway;DE;14169;Berlin;Teltower Damm 33;Teltower Damm 33 14169 Berlin;Subway Teltower Damm 33 14169 Berlin
5976176;Subway;DE;14473;Potsdam;Babelsberger Straße 16;Babelsberger Straße 16 14473 Potsdam;Subway Babelsberger Straße 16 14473 Potsdam
5976369;Subway;DE;14542;Werder;Apfelweg 4;Apfelweg 4 14542 Werder;Subway Apfelweg 4 14542 Werder
5976589;Subway;DE;14776;Brandenburg;St. Annen-Straße 21-31;St. Annen-Straße 21-31 14776 Brandenburg;Subway St. Annen-Straße 21-31 14776 Brandenburg
5976559;Subway;DE;14974;Ludwigsfelde;Karl-Liebknechtstraße 37/39;Karl-Liebknechtstraße 37/39 14974 Ludwigsfelde;Subway Karl-Liebknechtstraße 37/39 14974 Ludwigsfelde
5976250;Subway;DE;15230;Frankfurt;Logenstraße 8;Logenstraße 8 15230 Frankfurt;Subway Logenstraße 8 15230 Frankfurt
5976453;Subway;DE;15344;Strausberg;Herrenseeallee 15;Herrenseeallee 15 15344 Strausberg;Subway Herrenseeallee 15 15344 Strausberg
5976525;Subway;DE;15517;Fürstenwalde;Eisenbahnstraße 127;Eisenbahnstraße 127 15517 Fürstenwalde;Subway Eisenbahnstraße 127 15517 Fürstenwalde
5976426;Subway;DE;15711;Königs Wusterhausen;Bahnhofstr. 1;Bahnhofstr. 1 15711 Königs Wusterhausen;Subway Bahnhofstr. 1 15711 Königs Wusterhausen
